companyName,title,location,address,city,state,zipcode,isRemote,categories,compensation,compensationRange,salaryMin,salaryMax,salaryType,jobType,description,workSchedule,schedule,minimumAge,openingDate,closingDate,isOngoing,applicationDeadline,eligibility,applicationLink,hasTraining,hasAdvancement,requiresTransportation,requiresResume,photoUrl,isActive,isApproved
"Hayward Homework Support Center tutor","Hayward Homework Support Center tutor","","","Hayward","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Program Description: Provides students with a safe and welcoming learning environment. Assists students, in K-12th grades, with all of their homework needs. Centers are equip with laptop computers, learning manipulatives, academic resources, and homework supplies. Description of Duties: Volunteers are needed at the Hayward Public Library’s Homework Support Centers, located at the Main Library, Weekes Branch, and Hayward Public Schools. Training Provided: Volunteers are required to complete a City of Hayward Volunteer Application Form, found on the Library’s main webpage. Volunteers will be interviewed and trained by the Homework Support Center’s Coordinator, Ivan Padilla. You must be at least 15 years old. Want to volunteer as a Homework Helper? Email ivan.padilla@hayward-ca.gov with your availability for a meeting. Service contact: Ivan Padilla or 510-583-5382 This service made possible in Hayward by a grant from the U.S. Department of Education.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Help programs to defend the rights of African communities","Help programs to defend the rights of African communities","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Uhuru Furniture & Collectibles has ongoing volunteer opportunities DAILY. So if you have school program or court-ordered community service hours, or you simply want to help advance a great cause, call us! Whether you need 1 hour or 1,000 hours, we’ll help you make your deadline. Volunteer Opportunities include: * postering or distributing flyers * painting furniture or recovering dining chairs * welcoming and helping customers * cleaning furniture, organizing home decor on shelves * posting our inventory to OfferUp and LetGo * graphic design * lifting and moving furniture All volunteer opportunities fall within our safety protocols, ensuring masks and hand sanitizer are used and that social distancing is followed, for everyone’s safety. Uhuru Furniture & Collectibles is an economic development project of the African People’s Education and Defense Fund (APEDF). APEDF strives to develop and institutionalize programs to defend the human and civil rights of the African community and the address the grave disparities in education, health, health care and economic development faced by the African community. More info @ www.apedf.org Contact: apedf.volunteer@yahoo.com 510-763-3342 Uhuru Furniture & Collectibles 3742 Grand Ave Oakland, CA 94610","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Increase your STEM and job skills by working at the Chabot Space & Science Center","Increase your STEM and job skills by working at the Chabot Space & Science Center","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","The Galaxy Explorer program provides high school students with an opportunity for hands-on, fun community service work while giving them a chance to develop their job skills, increase their STEM knowledge, and enhance public speaking. The program is a year round commitment and Galaxy Explorers are required to participate in a minimum of 8 hours of enrichment per month. OPPORTUNITIES FOR GALAXY EXPLORERS TO MEET THEIR REQUIRED ENRICHMENT HOURS: SCIENCE ENRICHMENT Explorers further their knowledge by participating in many exciting opportunities including field trips to tech companies, research institutions, state and national parks and other museums. Chabot also hosts a monthly enrichment lecture series for our volunteers that features renowned scientists discussing their research and field of work. MUSEUM EXPLAINER Explainers are the most visible volunteer roles, engaging with visitors at Chabot; staffing exhibits and science activity stations. This is component is known as “floor hours.” All Galaxy Explorers are required to work at least one floor shift per month. COMMUNITY OUTREACH Galaxy Explorers assist with outreach science education for younger children, peers, and families at schools, libraries, fairs, and community centers. Students can be trained to operate the Cosmic Ray Planetary Theatre. Teens interested in public speaking can complete our training program and perform their own travelling planetarium shows. UNLOCKING POTENTIAL WORKSHOPS These monthly workshops are geared toward skill-building, leadership development, and college planning. Topics covered include public speaking, job interviewing, career planning, resume development, personal budgeting, careers in STEM, and more. SPECIAL INTEREST TEAMS These special interest clubs allow Explorers to delve deeper into a specific area of science. Each team works throughout the school year on long term projects that will eventually benefit the Center and its visitors. Team membership lasts one school semester at a time, and most teams do not meet during the summer months. Examples of teams include Astronomy, Environmental Sciences, and Engineering. Upon joining a team, regular attendance is required. There is an enrollment period for this program. Please check our website to verify that applications are open.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Volunteer at the USS Hornet Sea, Air & Space Museum","Volunteer at the USS Hornet Sea, Air & Space Museum","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","The USS Hornet Sea, Air & Space Museum depends upon the service of a dedicated volunteer crew for success. Our volunteers become shipmates who actively participate in the staffing and operation of this historic aircraft carrier. Become part of the ongoing history and legacy of the aircraft carrier USS Hornet, an American icon of World War II, the Vietnam War, and the Apollo 11 & Apollo 12 recovery missions! Help preserve the ship and her history by sharing your time, skills, experience, labor, and/or knowledge! Please note that many volunteer positions require walking, climbing ship’s ladders (stairs), and maneuvering tight passageways. Anyone can apply to be a volunteer at the USS Hornet Sea, Air & Space Museum! We prefer ages 18 and older but do accept younger volunteers in specific volunteer positions such as our Docent, Education, and Collections programs depending on interest and availability. Military service is appreciated but not required–our volunteers have diverse skill sets and come from all walks of life. All applicants must pass a background check to serve as a volunteer. Volunteers at the Museum can participate in as many Volunteer Divisions as they like so. Some divisions, such as the Docents and Safety & Security, require minimum hours to to stay listed as an “active volunteer” within those divisions whereas others such as Events, are better suited for those who want to volunteer but won’t be able to set up a regular schedule.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Provide meals to seniors and the ill","Provide meals to seniors and the ill","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Every day, we prepare 2,500 nutritious meals and provide 200 bags of healthy groceries to help sustain our clients as they battle serious illnesses, isolation, or the health challenges of aging. We serve San Francisco and Oakland, engaging more than 125 volunteers daily to nourish our community. At Project Open Hand, we rely on more than 125 volunteers every day to help prepare, package and deliver meals with love, and distribute groceries to sick and elderly neighbors. Volunteers also help us staff special events throughout the year. Please be ready to make a 6-month commitment. For students, we ask you to commit to volunteering for 40 hours during one semester. Provide an annual tuberculosis (TB) test. We provide information about this at our orientation session. For safety reasons, you must be at least 15 years old to volunteer in our grocery center or special events.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Support students learning remotely in Berkeley’s Public Schools","Support students learning remotely in Berkeley’s Public Schools","","","Berkeley","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Change the world one classroom at a time through Berkeley Schools Volunteers (BSV), a program of the Berkeley Public Schools Fund. In this new era of distanced learning, public school students need volunteer support NOW MORE THAN EVER! BSV matches committed community members with teachers and staff in one of our 20 public schools – preschool through 12th grade, and the adult school. We build community-school partnerships that benefit student development and learning during this extraordinary time of challenge and isolation. This year, our volunteers will be supporting distanced learning. We’re looking for tech-comfortable adults who are adaptable and ready to learn a new landscape. (Training will be provided.) Volunteers are typically paired with a classroom and teacher and serve in a variety of helpful capacities for a few hours each week for the duration of the school year. Our volunteer matching is extremely customized to teachers’ needs and volunteers’ skills and interests. Learn more about the many opportunities that await you. From www.berkeleypublicschoolsfund.org, click on Volunteer and then Classroom Volunteers to learn more and apply. You must be at least 16 years old.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Youth K-8 program volunteer","Youth K-8 program volunteer","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Thanks for your consideration to improve youth lives in our community! The vision for volunteers is to support K-8 residents on an ongoing basis to equally facilitate academic support while also participating in activities to spur social/emotional development. Primary tasks will include assisting the Youth Enrichment Coordinator to set up before the sessions, work with our students during programming, and conclude with a debrief. Our goal is to provide academic assistance, facilitate arts and crafts, and engage in activities centered on social development. The idea being to cultivate a space after-school that ultimately equips these youth with day to day, practical skills. This is a fun opportunity to build volunteer hours, be a positive influence in the lives of children, and have a great time! Who should apply: This role is perfect for those passionate about education and motivated to help low-income youth, creating a positive impact for our communities. At least 14 years olds. Additional requirements: Complete volunteer forms, a brief interview, volunteer orientation, and background screening prior to beginning your placement.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Work with a student-led, environmental nonprofit chapter","Work with a student-led, environmental nonprofit chapter","","Virtual volunteering Fremont","California 94555","California","94555",false,"Community Service","Volunteer / Unpaid","","","","","","Hello! I’m forming a local Chapter team for (Bay Area/California) under the Start With You network. This is a virtual volunteer opportunity for high school students who are looking to help save the environment and make a difference in their future and the future of the people around them. The aim of our Chapter is to first understand the environment-related challenges and execute strategies to mitigate our environmental impact through collective action in our daily lifestyle choices. The two main obstacles to making environmentally sustainable lifestyle choices in our households are: How we are related to issues of the climate crisis, deforestation, biodiversity loss, etc. is often a concept that is too abstract for most of us to understand as we go about our daily lives, so we do not pay much attention to the impact our choices have. Sustainability at an individual level often boils down to choosing between what is beneficial for the environment and what is more convenient for us in the short-run. Seeking comfort, we go with the latter option Our goal at the chapters at Start With You is, in addition to raising awareness, to address these 2 basic problems and give people practical ways in which they can reduce the harmful impact they have on the environment. To make our impact less abstract and more tangible, we will use numbers- such as water footprint or consumption, electricity consumption, and carbon footprint- to show residents how everyday actions can change those numbers. This will not only help them track their progress but also if your chapter team works effectively enough to reach out to several households in your locality, these numbers can be used to compare the per-capita impact of different homes, perhaps fostering in a spirit of healthy competition in this regard (which will be the advanced stage when individual action becomes a sustained, grassroots phenomenon)! To make the shift from passivity to action, we will focus on giving people the most convenient ideas to act on in their respective situations. Small steps are the way to go. Of course, you can’t STOP showering to save water, but you CAN try to cut your showering time by half or take bucket baths instead. It’s fine if you can’t put solar panels on your rooftop, but you CAN make a difference by simply switching off electrical appliances when you leave the room, or turn down the air conditioner or thermostat when it is not necessary. It’s hard to run a political campaign to get your government to help with waste segregation, but you CAN simply keep a separate bin for kitchen waste at your home. … .. You get the idea. As a Chapter, we can also research as to what impact these choices have locally. The Organisation: Executive Board This is the overarching team that supports the functioning of different chapters and core volunteering teams and deals with administrative work. Chapter Teams These are the central teams established in each chapter. They carry out activism, awareness, environmental damage reduction drives, among other functions in their respective locations. The network of chapters forms the backbone of the organization. Core Volunteering teams These are 3 teams that work within the organization as a whole and aren’t affiliated with any chapter in particular. These include: Writers and researchers on anything related to environmental sustainability, ranging anywhere from lifestyle tips to analytical articles. Social media and outreach experts who would be integral to showcasing the mission and its accomplishments. Artists, musicians, singers, poets, dancers, anyone with a creative streak who would like to express and promote the cause of environmental sustainability through art forms! The Chapters The following are some recommended delegations for each chapter team to follow. These will give you some insight into what work your team will be expected to do and some idea of how you could possibly divide those tasks. The Outreach Head plays the integral role of engaging with the residents of the community and working to implement the plans the Core team formulates as a whole. The Marketing Head will primarily conduct recruitment (to whichever extent possible) for the Core teams as well as for the Chapter team if needed. The Secretary will be responsible for meeting facilitation and coordinating documentation for social media/outreach as well as progress reports to be submitted to the Executive Board every 2 weeks. The Data Management Head essentially is in charge of surveying the community (in initial stages) and coordinating impact calculation (in later stages of the project) for the residents. Volunteers will work primarily as the point of contact in local housing communities and help in effective communication and data collection. They may be recruited after other Chapter Team members have been designated. Do note that these delegations are mere suggestions, and you are welcome to work with your chapter as suits your context and preferences. Let me know if you are interested in joining me or have questions!","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Bag food for those in need during the Coronavirus","Bag food for those in need during the Coronavirus","","1925 Ninth Street Berkeley","California 94710","California","94710",false,"Community Service","Volunteer / Unpaid","","","","","","During this time, we are looking for healthy individuals–between the ages of 16 and 64–who can help us in the fast-paced environment of our warehouse and on-site pantry. Due to school shut downs and people losing work, we are seeing more and more folks in need of food. This is an important time for those of us who are able to support people in need in our community. We are taking extra precautions for volunteer safety and have a plan in place to minimize contact while increasing our already strong sanitation protocol. It’s all hands on deck and we hope to see you soon! If you do not find any available shifts when you first go to the above link, please check back. We regularly need extra people to help out at the last minute. We suggest you check first thing in the morning on days you are available to volunteer. Thank you for your interest in volunteering for the Berkeley Food Network.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Donate blood with the Red Cross","Donate blood with the Red Cross","","650 W Ranger Ave Alemeda","California 94501","California","94501",false,"Community Service","Volunteer / Unpaid","","","","","","Volunteer in many different ways at the American Red Cross to help with the COVID-19 health crisis.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Food Bank Volunteer","Food Bank Volunteer","","1925 Ninth St. Berkeley","California 94710","California","94710",false,"Community Service","Volunteer / Unpaid","","","","","","Did you know that one in five Berkeley residents is not able to put enough food on their table to live a healthy and hunger-free life? And with the COVID-19 crisis, the number of people facing hunger is growing. The Berkeley Food Network (BFN) is dedicated to fighting food insecurity — we work through a community-centered, collaborative process to source, rescue, and prepare healthy food and get it to the people who need it. If you’d like to share in this mission, please volunteer with us! We have a variety of shifts and times available – check out our webpage and sign up! https://berkeleyfoodnetwork.org/events/","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Teach novice sewers","Teach novice sewers","","6300 Civic Terrace Ave. Newark","California 94560","California","94560",false,"Community Service","Volunteer / Unpaid","","","","","","Teach novice, mostly adult, sewers to make a drawstring bag using a sewing machine at two-hour Sewing Circles on Saturdays, usually from 2-4 pm. Then help students with their own projects. This a marvelous opportunity for someone who loves to share their skills with students who are very nice and incredibly grateful for your help. Sewing circle is usually twice a month, but each volunteer commits only to helping once a month unless they want to come more often. When one teaches, two learn. Requirements: Must be at least 15 2 or more hours per month Experience using a sewing machine and patterns.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Play music for seniors with disabilities or dementia","Play music for seniors with disabilities or dementia","","2223 Ashby Avenue Berkeley","California 94705","California","94705",false,"Community Service","Volunteer / Unpaid","","","","","","Berkeley Pines Skilled Nursing Center welcomes volunteers who are passionate about working with residents with disabilities/dementia. The residents enjoys when we have volunteers that comes and plays music for them. I am looking for one-time and/or ongoing volunteer that would like to give 30 minutes to 1 hour of their time singing or playing an instrument for the residents of Berkeley Pines,","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Serve spaghetti to the homeless and low-income seniors","Serve spaghetti to the homeless and low-income seniors","","Lutheran Church of the Cross 1744 University Avenue Berkeley","California 94703","California","94703",false,"Community Service","Volunteer / Unpaid","","","","","","Our Wednesday night spaghetti meal needs regular volunteers to help ensure we are able to provide constant service to people who are homeless, senior and on fixed income in Berkeley. Looking especially for those to help serve every Wednesday between 4-5pm and to clean up afterwards. Be here at 3:30pm if possible.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Tutor children with the International Rescue Committee","Tutor children with the International Rescue Committee","","440 Grand Ave. Oakland","California 94610","California","94610",false,"Community Service","Volunteer / Unpaid","","","","","","BACKGROUND Founded in 1933, the International Rescue Committee is a leading non-sectarian non-profit organization providing emergency relief, protection, rehabilitation assistance, resettlement services, and advocacy for refugees and victims of oppression or violent conflict. The IRC responds to the world’s worst humanitarian crises and helps people to survive and rebuild their lives. At work in over 40 countries and 29 U.S. cities to restore safety, dignity, and hope, the IRC leads the way from harm to home. This year, the IRC in Oakland will be resettling international refugees from Afghanistan, Burma, Eritrea, Syria, among others. Domestically, our 29 offices across the U.S. work with refugees to help them gain self-sufficiency and ensure new arrivals have food, shelter, and clothing. PROGRAM DESCRIPTION Oakland IRC’s Economic Empowerment program supports clients in rebuilding their lives in the U.S. The IRC supports new arrivals find their first job in the U.S. through Early Employment Programs, which blend classroom job-readiness instruction and individualized employment case management in helping over 75 percent of enrolled cases successfully find employment within 6 months of arrival to the U.S. While clients are looking for a job, they simultaneously learn about the complex U.S. financial services system, receive help in establishing bank accounts, and can access consumer advocacy and financial coaching support from IRC Financial Counselors. PURPOSE OF VOLUNTEER POSITION: The Youth Volunteer will work closely with the ESL Volunteer in providing tutoring to IRC client’s children. The volunteer will assist their assigned mentees through youth to youth tutoring and mentorship, under the supervision of an ESL Volunteer, IRC staff member, or the volunteer’s parent or guardian. The volunteer may also be asked to provide child watch services for adult learners. COMMITMENT: · Minimum of 2 hours per week, once a week RESPONSIBILITIES: · Youth to youth homework tutoring (Math, writing, reading, journaling, etc.) · Help young clients learn, review content with them, explain how to solve problems and checking completed work. · Help young clients develop study skills and organization techniques to help improve their academic performance · Serve as a role model/mentor for young clients VOLUNTEER REQUIREMENTS: · All youth volunteers must be between 15—18 years old · Meet scheduled weekly commitment · Perform all required tasks and functions · Attend supervision as requested VOLUNTEER QUALIFICATIONS: We ask that candidates have the following qualities: · Strong communication skills (both interpersonal and with supervisors) · Possess great attention to detail and organizational skills · Strong sense of personal initiative · Computer literacy with PC systems and software · Passion for working with children · Experience working with multi-cultural populations PREFERRED QUALIFICATIONS: · Basic ability with elementary level school subjects · Previous tutoring experience a plus This position reports to the Economic Empowerment Instructor","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Assemble lunches and hygiene kits for the homeless​","Assemble lunches and hygiene kits for the homeless​","","3850 San Pablo Ave #102 Emeryville","California 94608","California","94608",false,"Community Service","Volunteer / Unpaid","","","","","","Operation Dignity needs people to purchase and assemble hygiene kits and lunches. Volunteers would purchase the supplies and put them together on their own (at homes, schools, etc). Then, they would deliver them to Operation Dignity who would give them to the homeless. Timing: Since this is a volunteer from home opportunity, we’re flexible on when people do the assembly, but they would need to check in with us on a drop-off time.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Walk dogs and socialize with cats","Walk dogs and socialize with cats","","1 Bolivar Dr. Berkeley","California 94710","California","94710",false,"Community Service","Volunteer / Unpaid","","","","","","Update from 9/21/20: We are currently closed to the public and unable to hold new volunteer orientations for the time being. Do you love animals? Here is your chance to interact with them. Your job is to walk the dogs and/or socialize with cats to make them feel loved! OTHER INFO: We require at least a 6 month commitment once trained.","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Tutor K-4th graders","Tutor K-4th graders","","","Alameda County","CA","",false,"Community Service","Volunteer / Unpaid","","","","","","Volunteers will be tutoring students K- 4 one on one using Reading Partners curriculum and materials in one of Reading Partners reading centers located throughout the San Francisco Bay Area. SKILLS REQUIRED: No skills or experience required. We provide all of the materials and training necessary to tutor in our reading centers. REQUIREMENTS: You must be 14 years of age or older and if you are 18 years of age you will be required to complete a background check. All volunteers are required to attend a Tutor Orientation and complete a TB clearance.​​ An application is required along with a commitment of at least one hour a week for one or both semesters.​ Address information","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Donate basic necessities to women in need","Donate basic necessities to women in need","","2218 Acton St Berkeley","California 94702","California","94702",false,"Community Service","Volunteer / Unpaid","","","","","","For women and their families living in cars, tents, or temporary shelters, even the basics can be hard to come by. A volunteer can drop off any of the following items at the center to help out: $10 gift cards to local stores like Safeway, Target, or Trader Joe’s for groceries and other necessities Deodorant Shampoo and Conditioner Feminine Hygiene Products Body Wipes Socks, Underwear, and Bras (Plus sizes too, please!) Scarves, Hats, and Gloves Shoes and Clothing for Women and Children Baby Wipes Diaper Cream Baby Formula Diapers","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
"Serve meals to the homeless in Berkeley","Serve meals to the homeless in Berkeley","","Lutheran Church of the Cross","1744 University Ave Berkeley","California","94703",false,"Community Service","Volunteer / Unpaid","","","","","","Update from 9/21/20: All volunteer opportunities are still cancelled until further notice. We will reach out as soon as services are available. Volunteer duties include: Setting up tables Plating and serving food Bussing tables Washing dishes Sweeping and mopping floors General cleanup and breakdown","","","","","",true,"","","https://teensvolunteer.org/",false,false,false,false,"",true,false
